id,source_id,title,datetime,top_article,reactions,comments,shares,comment_plugin
1433,the-irish-times,Rugby World Cup pool stage could be disrupted as cyclone heads for Japan,2019-09-05 17:04:00+00:00,False,2.0,0.0,1.0,0.0
1434,the-irish-times,"Don’t expect goals against the Swiss; Henshaw, Sexton and Earls to return",2019-09-05 07:02:26+00:00,False,0.0,0.0,0.0,0.0
1435,reuters,UFC looks to grow sport in Middle East with Abu Dhabi deal,2019-09-05 14:24:29+00:00,False,0.0,0.0,1.0,0.0
1436,bbc-news,Adam Matthews: Charlton Athletic sign former Sunderland right-back,2019-09-05 15:00:56+00:00,False,0.0,0.0,0.0,0.0
1437,bbc-news,Fernando Forestieri: Sheffield Wednesday forward to serve six-game ban after losing racism appeal,2019-09-05 13:13:59+00:00,False,516.0,303.0,52.0,0.0
1438,the-irish-times,‘When will it stop?’ Priest urges end to Drogheda feud at funeral,2019-09-05 16:23:50+00:00,False,1.0,0.0,1.0,0.0
1439,business-insider,"I pitted a Ford F-150 against a Chevy Silverado in the ultimate pickup-truck showdown — here's the verdict (F, GM)",2019-09-05 14:44:00+00:00,False,69.0,32.0,22.0,0.0
1440,newsweek,'Dancing With The Stars' Contestant Hannah Brown Says Show Is Making Her Uncomfortable Post 'Bachelorette',2019-09-05 16:55:14+00:00,False,0.0,0.0,0.0,0.0
1441,the-irish-times,WeWork considers slashing IPO valuation amid pushback,2019-09-05 15:11:08+00:00,False,0.0,0.0,0.0,0.0
1442,bbc-news,Amy Allan death: Significant failings in care by Great Ormond Street Hospital,2019-09-05 15:37:58+00:00,False,0.0,2.0,14.0,0.0
1443,abc-news,"US, Chinese envoys to meet in October for tariff war talks",2019-09-05 16:04:47+00:00,False,0.0,0.0,0.0,0.0
1444,the-irish-times,First look: Marks & Spencer goes back to basics for autumn/winter collection,2019-09-05 07:40:00+00:00,False,0.0,0.0,1.0,0.0
1445,cnn,What's left of Sears and Kmart,2019-09-05 16:59:22+00:00,False,4.0,0.0,35.0,0.0
1446,al-jazeera-english,Zimbabwe doctors strike over poor wages and working conditions,2019-09-05 11:13:03+00:00,False,3.0,0.0,18.0,0.0
1447,the-irish-times,Ukrainian court releases suspect in downing of Flight MH17,2019-09-05 15:32:16+00:00,False,0.0,0.0,0.0,0.0
1448,bbc-news,First minister had 'no role' in Allan Marshall prison death case,2019-09-05 15:23:03+00:00,False,0.0,0.0,3.0,0.0
1449,bbc-news,Gareth Bale: 'Critics do not know what they are talking about',2019-09-05 13:09:21+00:00,False,1.0,0.0,21.0,0.0
1450,newsweek,Fall is For Food: Here Are the Culinary Shows Filling Your TV Plates This Season,2019-09-05 17:21:15+00:00,False,0.0,0.0,0.0,0.0
1451,newsweek,Hadestown's André De Shields Talks Dragging Broadway 'Kicking and Screaming' Toward Diversity,2019-09-05 09:00:01+00:00,False,18.0,4.0,2.0,0.0
1453,business-insider,We ranked every NFL team's quarterback situation heading into the 2019 season,2019-09-05 16:02:10+00:00,False,2.0,0.0,1.0,0.0
1454,cnn,"Why 47,000 grocery workers in California may go on strike",2019-09-05 16:19:15+00:00,False,0.0,0.0,14.0,0.0
1455,bbc-news,UK: Prime Minister's brother Jo Johnson quits as Conservative MP and minister,2019-09-05 15:12:00+00:00,False,0.0,0.0,0.0,0.0
1456,cnn,Watch Boris Johnson's unusual insult,2019-09-05 14:21:40+00:00,False,0.0,0.0,58.0,0.0
1457,cnn,"South Africa closes embassies in Nigeria, fearing reprisal attacks",2019-09-05 13:55:26+00:00,False,619.0,505.0,286.0,0.0
1458,cnn,Boris Johnson's brother Jo announces resignation from UK government,2019-09-05 10:50:42+00:00,False,1942.0,640.0,372.0,0.0
1459,cbs-news,Judge considers releasing names linked to Jeffrey Epstein in court documents,2019-09-05 17:14:36+00:00,True,0.0,0.0,3.0,0.0
1460,abc-news,Russian protester sentenced to 4 years,2019-09-05 16:56:26+00:00,False,0.0,0.0,4.0,0.0
1461,the-irish-times,"Drugs worth €107,000 found after man searched in Cork train station",2019-09-05 09:29:07+00:00,False,0.0,0.0,1.0,0.0
1462,cbs-news,"Aerial view shows devastation in the Bahamas: ""Everything. Gone""",2019-09-05 11:30:15+00:00,False,2.0,0.0,3.0,0.0
1463,business-insider,Here's why FedEx ditched Amazon and is throwing itself into powering Walmart's e-commerce aspirations,2019-09-05 16:38:42+00:00,True,1.0,0.0,7.0,0.0
1464,bbc-news,The hand signal that's got China nervous,2019-09-05 00:33:18+00:00,True,0.0,0.0,0.0,0.0
1465,abc-news,India says landline phone service fully restored in Kashmir,2019-09-05 12:38:11+00:00,False,0.0,0.0,3.0,0.0
1466,cbs-news,Ryan Poston Murder Part 1: Breaking Point,2019-09-05 00:16:27+00:00,False,0.0,0.0,0.0,0.0
1467,the-new-york-times,‘Heading Home: The Tale of Team Israel’ Review: When Baseball Is a Religion,2019-09-05 11:00:01+00:00,False,0.0,0.0,4.0,0.0
1468,business-insider,Putin says he offered Trump the chance to buy Russian hypersonic weapons,2019-09-05 15:01:24+00:00,False,99.0,72.0,51.0,0.0
1469,business-insider,Parents on Twitter are sharing the emotional ways they're dealing with their kids' first day of school,2019-09-05 14:54:00+00:00,False,8.0,1.0,6.0,0.0
1470,abc-news,Civil rights groups sue over immigrant medical care cases,2019-09-05 13:59:41+00:00,False,0.0,0.0,0.0,0.0
1471,business-insider,New analysis shows the international Netflix markets with the most potential for original TV and movie investment,2019-09-05 17:05:51+00:00,False,0.0,0.0,1.0,0.0
1472,bbc-news,Jamie Laing pulls out of Strictly Come Dancing with injury,2019-09-05 15:17:02+00:00,False,46.0,42.0,69.0,0.0
