,0
0,0.07457984399811488
1,0.05283862153122042
2,0.011078488344359903
3,0.004658483688902314
4,0.0025464045357146132
5,0.044123674545717
6,0.004296829515035561
7,0.007817488846491066
8,0.0008486189924482133
9,0.012451696246425208
10,0.015703729139360013
11,0.019420482968557154
12,0.04808140033311969
13,0.07292123271418692
14,0.15542416809358514
15,0.16780976995613253
16,0.0835011889620619
17,0.2065979386760064
18,0.013412017421316693
19,0.0018879214912443786
20,0.0
21,0.0
22,0.0
23,0.0
